"name","element","label_en","label_it","description_en","description_it","creator"
"accident-circumstances","AccidentCircumstance","Accident circumstance","Circostanze presunte dell'incidente","ISTAT codes of the accident circumstances","Codici ISTAT delle circostanze presunte dell'incidente","https://w3id.org/people/lucamartinelli"
"accident-types","AccidentType","Accident type","Tipologia dell'incidente","Classification of accident types (e.g. head-on collision, etc...)","Classificazione delle tipologie di incidente stradale (es: scontro frontale, ecc...)","https://w3id.org/people/lucamartinelli"
"association-categories","AssociationCategory","Association category","Categoria di associazione","Classification of association categories (e.g. ONLUS, cultural, etc...)","Classificazione delle categorie di associazioni (es: ONLUS, culturale, ecc...)","https://w3id.org/people/lucamartinelli"
"civil-status-categories","CivilStatusCategory","Civil statis category","Categoria dello stato civile","Classification of civil status categories for demographic events and observations","Classificazione delle categorie di stato civile per eventi ed osservazioni demografiche","https://w3id.org/people/lucamartinelli"
"company-demographic-categories","CompanyDemographicCategory","Demographic category for a company","Categoria della demografia di un'impresa","Classification of demographic categories for companies (e.g. youth enterprise, etc...)","Classificazione demografica delle aziende (es: impresa giovanile, ecc...)","https://w3id.org/people/lucamartinelli"
"heritage-types","HeritageType","Heritage type","Tipo di patrimonio","Classification of heritage types","Classificazione delle tipologie di patrimonio","https://w3id.org/people/lucamartinelli"
"involved-person-statuses","InvolvedPersonStatus","Involved person status","Stato della persona coinvolta","Possible statuses of persons involved in a road accident","Possibili stati delle persone coinvolte in un incidente stradale","https://w3id.org/people/lucamartinelli"
"land-registry-categories","LandRegistryCategory","Land registry category","Categoria catastale","Classification of land registry categories","Classificazione delle categorie catastali","https://w3id.org/people/lucamartinelli"
"organization-sections","OrganizationSection","Organizations registry's section","Sezione del registro imprese","Classification of organizations registry's section","Classificazione delle sezioni del registro imprese","https://w3id.org/people/lucamartinelli"
"pavement-types","PavementType","Pavement type","Tipo di pavimentazione stradale","Classification of pavement types","Classificazione delle tipologie di pavimentazione stradale","https://w3id.org/people/lucamartinelli"
"revelation-units","RevelationUnit","Revelation unit","Unità di rilevazione","Revelation units for road accidents","Unità di rilevazione degli incidenti stradali","https://w3id.org/people/lucamartinelli"
"road-categories","RoadCategory","Road category","Categoria della strada","Classification of road categories","Classificazione delle categorie di strade","https://w3id.org/people/lucamartinelli"
"road-contexts","RoadContext","Road context","Contesto stradale dell'incidente","The context where the accident happened (e.g. at an intersection, near a crossroad, etc...)","Il contesto stradale in cui è avvenuto l'incidente (es: in un incrocio, vicino a un attraversamento, ecc...)","https://w3id.org/people/lucamartinelli"
"road-signal-categories","RoadSignalCategory","Road signal category","Categoria di segnaletica stradale","Classification of road signals","Classificazione dei cartelli stradali","https://w3id.org/people/lucamartinelli"
"road-signal-presence-types","RoadSignalPresenceType","Road signal presence type","Tipologia di presenza di segnaletica stradale","Classification of road signal presence typology","Classificazione della tipologia di presenza di segnaletica stradale","https://w3id.org/people/lucamartinelli"
"road-types","RoadType","Road type","Tipo di strada","Classification of road types","Classificazione della tipologia di strada","https://w3id.org/people/lucamartinelli"
"roadbed-types","RoadbedType","Roadbed type","Tipo di fondo stradale","Classification of roadbed types","Classificazione della tipologia di fondo stradale","https://w3id.org/people/lucamartinelli"
"school-categories","SchoolCategory","School category","Categoria di scuola","Classification of school categories","Classificazione delle categorie di scuole","https://w3id.org/people/lucamartinelli"
"vehicle-categories","VehicleCategory","Vehicle category","Categoria di veicolo","Classification of vehicle categories","Classificazione delle categorie di veicoli","https://w3id.org/people/lucamartinelli"
"waste-categories","WasteCategory","Waste category","Categoria di rifiuto","Classification of waste categories","Classificatione delle categorie di rifiuti","https://w3id.org/people/lucamartinelli"
"weather-conditions","WeatherCondition","Weather condition","Condizione Meteorologica","Classification of weather conditions","Classificatione delle condizioni meteorologiche","https://w3id.org/people/lucamartinelli"